H,4,5,5,4,4,7,7,6,6,7,6,8,3,8,3,8
E,3,4,3,6,2,3,8,6,10,7,6,15,0,8,7,8
L,3,6,3,4,1,1,0,6,6,0,1,5,0,8,0,8
L,5,10,6,8,5,9,3,2,6,9,2,9,2,5,3,9
O,6,7,8,6,6,6,6,5,6,8,5,8,3,6,5,6
M,6,8,9,6,6,11,6,2,5,9,3,6,9,7,2,9
Y,6,9,6,7,4,5,8,0,8,8,9,5,2,11,4,4
N,5,9,7,6,4,4,10,3,4,9,10,9,5,8,1,8
A,3,5,5,7,2,7,7,3,1,6,0,8,3,7,1,8
M,8,10,11,8,9,9,6,2,5,9,4,7,11,9,3,8
E,3,4,4,6,2,3,8,6,10,7,6,14,0,8,7,7
I,1,4,0,6,0,7,7,4,4,7,6,8,0,8,0,8
S,4,10,6,7,4,7,8,3,7,10,5,7,2,6,5,8
N,3,6,5,4,5,7,8,3,3,8,7,8,5,9,5,4
E,2,3,3,2,1,6,8,2,8,11,8,8,1,8,4,7
U,2,3,3,1,1,4,8,5,6,11,10,8,3,10,1,6
R,3,9,4,6,3,5,10,9,3,7,4,8,3,7,6,11
A,4,9,6,6,2,7,4,3,2,7,1,8,3,7,3,8
L,1,0,1,1,0,2,2,5,5,1,1,6,0,8,0,8
N,6,9,9,7,5,10,8,3,6,10,2,4,5,9,1,7
E,3,8,4,6,4,6,7,5,8,7,5,10,3,8,5,9
D,4,7,6,5,4,7,8,5,6,10,6,4,3,8,4,8
D,2,4,4,3,2,9,7,4,6,10,4,6,2,8,3,8
Y,2,1,3,1,0,7,10,3,1,7,13,8,1,11,0,8
